date,avgTa,minTa,maxTa,sumRn,avgRhm,sumSsHr,avgWs,minTg,avgTs,sumGsr,crop
2025-06-12,23.7,15.833333333333334,31.5,,54.9,9.133333333333333,0.9333333333333332,12.5,32.1,26.715000000000003,cucumber
2025-06-13,20.7,17.333333333333332,25.633333333333336,22.5,79.2,0.13333333333333333,0.8666666666666667,15.266666666666666,24.8,10.785,cucumber
2025-06-14,23.099999999999998,18.466666666666665,29.766666666666666,35.53333333333333,82.3,6.1000000000000005,1.2333333333333334,18.266666666666666,25.266666666666666,20.075000000000003,cucumber
2025-06-15,25.5,19.566666666666666,31.633333333333336,1.8666666666666665,77.06666666666666,8.466666666666667,1.5,17.866666666666664,29.96666666666667,25.055,cucumber
2025-06-16,23.5,21.633333333333336,27.03333333333333,7.0,85.73333333333333,1.9000000000000001,1.7333333333333334,20.133333333333336,25.3,11.379999999999999,cucumber
2025-06-17,23.96666666666667,20.033333333333335,29.3,1.7666666666666666,80.7,5.833333333333333,1.0999999999999999,18.433333333333334,26.03333333333333,20.625,cucumber
2025-06-18,24.766666666666666,20.333333333333332,30.900000000000002,,71.5,10.6,1.1666666666666667,18.566666666666666,29.03333333333333,27.375,cucumber
2025-06-19,25.96666666666667,18.666666666666668,32.233333333333334,1.95,72.33333333333333,7.933333333333334,1.0999999999999999,16.966666666666665,28.833333333333332,22.52,cucumber
2025-06-20,24.133333333333336,22.766666666666666,26.633333333333336,54.06666666666667,91.96666666666665,0.0,2.233333333333333,22.233333333333334,25.066666666666666,4.475,cucumber
2025-06-21,21.066666666666666,18.533333333333335,23.7,52.23333333333333,95.26666666666667,0.0,1.2333333333333334,18.466666666666665,23.3,4.63,cucumber
2025-06-22,22.133333333333336,17.099999999999998,28.5,0.1,76.43333333333334,11.200000000000001,1.2666666666666666,15.766666666666666,26.2,28.455,cucumber
2025-06-23,24.3,17.233333333333334,31.233333333333334,,71.56666666666666,12.233333333333334,0.8666666666666666,15.6,28.5,29.12,cucumber
2025-06-24,21.933333333333334,18.866666666666667,26.7,11.200000000000001,82.63333333333334,0.16666666666666666,1.1333333333333333,18.400000000000002,24.099999999999998,10.155,cucumber
2025-06-25,20.833333333333332,18.633333333333333,23.53333333333333,3.533333333333333,89.0,0.4000000000000001,1.3333333333333333,18.46666666666667,22.766666666666666,7.145,cucumber
2025-06-26,22.333333333333332,19.633333333333336,26.933333333333334,0.5666666666666667,85.26666666666667,2.3000000000000003,1.1666666666666667,19.366666666666664,25.03333333333333,13.129999999999999,cucumber
2025-06-27,25.03333333333333,19.8,30.166666666666668,0.0,78.93333333333334,7.900000000000001,0.7999999999999999,18.766666666666666,28.433333333333334,22.955,cucumber
2025-06-28,26.433333333333334,23.066666666666666,31.166666666666668,3.533333333333333,83.86666666666666,2.6666666666666665,0.8666666666666667,22.366666666666664,29.566666666666666,15.605,cucumber
2025-06-29,27.46666666666667,23.633333333333336,32.266666666666666,,78.03333333333333,8.466666666666667,1.1666666666666667,22.5,30.866666666666664,22.76,cucumber
